Japanese,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Type,Genre,Score,Score Count,Synonyms,Genres,English,Theme,Themes,Broadcast,Premiered,Demographic
聖奴隷学園2,2,Not yet aired,"Feb 11, 2022 to ?","None found,","None found,","None found,",Visual novel,20 min. per ep.,Rx - Hentai,N/A,#15906,220,0,['OVA'],['Hentai'],,,,,,,,,,
しょうたいむ！～歌のお姉さんだってしたい,Unknown,Not yet aired,Not available,"None found,","None found,","None found,",Manga,Unknown,R+ - Mild Nudity,N/A,#11017,"1,164",0,['TV'],['Erotica'],,,,,,,,Unknown,?,
すヾみ舟,1,Finished Airing,1932,"None found,","None found,","None found,",Original,10 min.,Rx - Hentai,N/A,#14154,353,0,['Movie'],['Hentai'],,,Suzumi-fune,,,['Historical'],,,,
特典映像 - シャロンの手料理 vs ミューのコスプレ vs ニーナの既成事実 三つ巴の決戦,1,Finished Airing,"Dec 18, 2009","None found,","None found,","None found,",Visual novel,5 min.,Rx - Hentai,N/A,#14712,305,0,['Special'],,,,"Words Worth Special, Sharon's Home Cooking vs. Mew's Cosplay vs. Nina's Established Fact—Three-Cornered Battle","['Comedy', 'Hentai']",,,,,,
Abandon -100ヌキしないと出られない不思議な教室-,Unknown,Not yet aired,"Feb 4, 2022 to ?",['Mary Jane'],"None found,","None found,",Manga,20 min.,Rx - Hentai,N/A,#13553,423,0,['OVA'],['Hentai'],,,,,,,,,,
茜ハ摘マレ染メラレル,2,Not yet aired,"Feb 4, 2022",['Lune Pictures'],"None found,",['T-Rex'],Manga,16 min. per ep.,Rx - Hentai,N/A,#12103,720,4,['OVA'],['Hentai'],,,Akane's In A Pinch,,,,,,,
アネハメ 俺の初恋が実姉なわけがない,Unknown,Not yet aired,"Dec 24, 2021 to ?",['Mary Jane'],"None found,","None found,",Light novel,20 min.,Rx - Hentai,N/A,#13140,491,0,['OVA'],['Hentai'],,,,,,,,,,
エロ医師 ~清純美少女を言葉巧みにハメたい放題~,Unknown,Not yet aired,"Jan 28, 2022 to ?","None found,","None found,","None found,",Visual novel,20 min.,Rx - Hentai,N/A,#15534,246,0,['OVA'],['Hentai'],,,,,,,,,,
Garden ~高嶺家の二輪花~ THE ANIMATION,Unknown,Not yet aired,"Feb 25, 2022 to ?",['Pink Pineapple'],"None found,",['Seven'],Manga,20 min.,Rx - Hentai,N/A,#14966,282,0,['OVA'],['Hentai'],,,,,,,,,,
がーるずらっしゅ THE ANIMATION,2,Not yet aired,"Dec 24, 2021",['Pink Pineapple'],"None found,",['Studio 1st'],Manga,20 min. per ep.,Rx - Hentai,N/A,#12082,724,2,['OVA'],['Hentai'],,,,,,,,,,
ソウル美人記者 愛欲インサイダー,1,Finished Airing,"Apr 26, 2002","None found,","None found,","None found,",Unknown,1 hr. 25 min.,Rx - Hentai,N/A,#12902,536,1,['OVA'],['Hentai'],,,Seoul Bijin Kisha: Aiyoku Insider,,,,,,,
(秘)劇画 浮世絵千一夜,1,Finished Airing,"Oct 29, 1969",['Toei Video'],"None found,","None found,",Unknown,1 hr. 10 min.,Rx - Hentai,N/A,#12800,561,1,['Movie'],,,,"Hi Gekiga Ukiyoe Sen'ya Ichiya, Maruhi Gekiga Ukiyoe Sen'ya Ichiya, Maruhi Gekiga: Ukiyo-e 1001 Nights","['Action', 'Hentai']",,,,,,
ひみつのきち,2,Not yet aired,"Feb 4, 2022 to ?",['Queen Bee'],"None found,","None found,",Manga,20 min. per ep.,Rx - Hentai,N/A,#13827,386,1,['OVA'],['Hentai'],,,,,,,,,,
イケナイＢＯＹ イカす（秘）ハンドパワー,1,Finished Airing,"Sep 28, 1990","None found,","None found,",['J.C.Staff'],Unknown,50 min.,Rx - Hentai,N/A,#13457,439,0,['OVA'],,,,,"['Comedy', 'Hentai']",,,,,,
遺作 終劇「罪と罰」,1,Finished Airing,"Mar 26, 1999",['Pink Pineapple'],"None found,","['Studio Kyuuma', 'Triple X']",Visual novel,29 min.,Rx - Hentai,N/A,#15493,249,0,['Special'],['Hentai'],,,"Isaku Recap, Isaku: Crime And Punishment",,,,,,,
解放区 ~痴漢ハーレム~,1,Finished Airing,"Mar 25, 2007",['Jam'],['Kitty Media'],['Studio Jam'],Visual novel,17 min.,Rx - Hentai,N/A,#17849,114,0,['OVA'],['Hentai'],,,Pervs on a Train: Free Zone,,,,,,,
キミはやさしく寝取られる THE ANIMATION,Unknown,Not yet aired,"Feb 25, 2022 to ?",['Pink Pineapple'],"None found,",['Seven'],Original,20 min.,Rx - Hentai,N/A,#15189,266,0,['OVA'],['Hentai'],,,,,,,,,,
コンビニ少女Z,Unknown,Not yet aired,"Dec 24, 2021 to ?","None found,","None found,",['Suzuki Mirano'],Visual novel,30 min.,Rx - Hentai,N/A,#12105,719,1,['OVA'],['Hentai'],,,,,,,,,,
ころがし涼太,3,Finished Airing,"Nov 21, 1990 to Nov 21, 1991",['Knack Productions'],"None found,","None found,",Unknown,41 min. per ep.,R+ - Mild Nudity,N/A,#14518,320,1,['OVA'],,,,,"['Action', 'Comedy', 'Hentai']",,,,,,['Seinen']
巨乳エルフ母娘催眠,2,Not yet aired,"Jan 28, 2022",['Lune Pictures'],"None found,",['T-Rex'],Visual novel,20 min. per ep.,Rx - Hentai,N/A,#12789,560,0,['OVA'],['Hentai'],,,,,,,,,,
えみる触手凌辱種付けシーン,1,Finished Airing,"Dec 11, 2015",['Valkyria'],"None found,","['Studio Fantasia', 'Rabbit Gate']",Visual novel,3 min.,Rx - Hentai,N/A,#13947,377,1,['Special'],,,,Mahou Shoujo Elena Special,"['Supernatural', 'Hentai']",,,,,,
