Japanese,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Favorites,Type,Genre,Score,Score Count,Synonyms,Genres,English,Theme,Themes,Broadcast,Premiered,Demographic
エイミーと呼ばないでっ,2,Finished Airing,"Feb 28, 1997 to Jun 27, 1997",['Pink Pineapple'],"None found,",['Triple X'],Visual novel,28 min. per ep.,Rx - Hentai,N/A,#10730,"1,232",2,['OVA'],['Hentai'],4.92,417,Amy to Yobanaide,,,,,,,
ピンクのカーテン,1,Finished Airing,"Nov 25, 1987","None found,","None found,","None found,",Unknown,29 min.,Rx - Hentai,N/A,#12960,528,0,['OVA'],,4.92,159,"Pink Curtain, Curtain of the Pink","['Slice of Life', 'Hentai']",,,,,,
裸足の放課後,1,Finished Airing,"Mar 10, 1985",['Five Ways'],"None found,","None found,",Unknown,26 min.,Rx - Hentai,N/A,#10813,"1,195",3,['OVA'],,4.91,371,"Classmate, Little Mermaid Series","['Girls Love', 'Erotica', 'Hentai']",,,,,,
天使のはばたきJUN,1,Finished Airing,"Apr 27, 2001",['Obtain Future'],"None found,","None found,",Unknown,30 min.,Rx - Hentai,N/A,#12621,596,0,['OVA'],['Hentai'],4.91,157,Angel Girl Jun,,,,,,,
艶笑日本昔ばなし,1,Finished Airing,"May 25, 1988",['Japan Home Video'],"None found,","None found,",Unknown,30 min.,Rx - Hentai,N/A,#11968,761,2,['OVA'],,4.91,248,,"['Comedy', 'Hentai']",,['Historical'],,,,
奇術師×魔術師 王坂学園探偵部の事件簿,1,Finished Airing,"Apr 26, 2002",['Pink Pineapple'],"None found,",['Studio Kyuuma'],Unknown,27 min.,Rx - Hentai,N/A,#11379,950,1,['OVA'],['Hentai'],4.90,284,,,,,,,,
Rhythm 恋の律動〈りずむ〉,2,Finished Airing,"Jun 11, 1998 to Jan 8, 1999",['Daiei'],"None found,","None found,",Visual novel,31 min. per ep.,Rx - Hentai,N/A,#12011,747,3,['OVA'],['Hentai'],4.90,192,Koi no Ritsudou,,Pure Love,,,,,
聖ミカエラ学園漂流記,2,Finished Airing,"Jun 22, 1990 to Jul 25, 1991","None found,","None found,",['Visual 80'],Unknown,37 min. per ep.,Rx - Hentai,N/A,#10966,"1,119",3,['OVA'],['Hentai'],4.89,300,"St. Michael School Drifting Story, Drifting Story",,,,,,,
みなみの私のハートにタッチして...,1,Finished Airing,"Nov 19, 1989","None found,","None found,","None found,",Unknown,29 min.,Rx - Hentai,N/A,#12267,680,2,['OVA'],,4.88,180,Sexy Anime Rama #2,"['Romance', 'Hentai']",,,,,,
ラブリー・シリーズ,2,Finished Airing,"Jul 10, 1985 to Nov 1, 1985",['Fuji Video'],"None found,","None found,",Unknown,23 min. per ep.,Rx - Hentai,N/A,#12528,622,0,['OVA'],['Hentai'],4.88,165,,,Lovely Series,,,,,
閻魔國 アンダーワールド,1,Finished Airing,"Nov 18, 2000","None found,","None found,","None found,",Unknown,1 hr. 4 min.,Rx - Hentai,N/A,#12873,541,0,['OVA'],['Hentai'],4.88,134,,,,,,,,
あげまんと福ちん,1,Finished Airing,"Dec 21, 1991","None found,","None found,",['Knack Productions'],Unknown,29 min.,Rx - Hentai,N/A,#11148,"1,040",2,['OVA'],['Hentai'],4.86,292,"Ageman to Fuku-chan, Ageman and Fuku Chin, Ageman and Fuku-chan",,,,,,,
